Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000093,2024-01-08,2024-03-08,"187032 points","Brad Pitt","Fight Club","18 декабря 1963 г."
2,nm0000151,2024-01-08,2024-06-12,"185760 points","Morgan Freeman","Driving Miss Daisy","1 июня 1937 г."
3,nm0000138,2024-01-08,2024-03-09,"172026 points","Leonardo DiCaprio","Inception","11 ноября 1974 г."
4,nm0000354,2024-01-08,2024-03-09,"155332 points","Matt Damon","Good Will Hunting","8 октября 1970 г."
5,nm0000134,2024-01-08,2024-03-09,"155272 points","Robert De Niro","Cape Fear","17 августа 1943 г."
6,nm0000323,2024-01-08,2024-01-08,"144652 points","Michael Caine","The Dark Knight","14 марта 1933 г."
7,nm0000288,2024-01-08,2024-02-21,"135083 points","Christian Bale","The Dark Knight","30 января 1974 г."
8,nm0000158,2024-01-08,2024-04-25,"126006 points","Tom Hanks","Cast Away","9 июля 1956 г."
9,nm0000198,2024-01-08,2024-01-08,"115227 points","Gary Oldman","The Dark Knight","21 марта 1958 г."
10,nm0000246,2024-01-08,2024-06-16,"111799 points","Bruce Willis","Die Hard","19 марта 1955 г."
11,nm0000199,2024-01-08,2024-01-08,"108544 points","Al Pacino","Serpico","25 апреля 1940 г."
12,nm0001570,2024-01-08,2024-04-25,"100358 points","Edward Norton","Fight Club","18 августа 1969 г."
13,nm0614165,2024-01-08,2024-04-24,"94252 points","Cillian Murphy","28 Days Later...","25 мая 1976 г."
14,nm0000129,2024-01-08,2024-06-12,"92005 points","Tom Cruise","Top Gun","3 июля 1962 г."
15,nm0000136,2024-01-08,2024-01-08,"91469 points","Johnny Depp","Pirates of the Caribbean: The Curse of the Black Pearl","9 июня 1963 г."
16,nm0000148,2024-01-08,2024-03-20,"88982 points","Harrison Ford","Raiders of the Lost Ark","13 июля 1942 г."
17,nm0000168,2024-01-08,2024-01-08,"85057 points","Samuel L. Jackson","Pulp Fiction","21 декабря 1948 г."
18,nm0000450,2024-01-08,2024-04-07,"81086 points","Philip Seymour Hoffman","The Master","23 июля 1967 г."
19,nm0000228,2024-01-08,2024-06-23,"80112 points","Kevin Spacey","L.A. Confidential","26 июля 1959 г."
20,nm0000146,2024-01-08,2024-01-08,"77799 points","Ralph Fiennes","The Constant Gardener","22 декабря 1962 г."
21,nm0000553,2024-01-08,2024-05-24,"76221 points","Liam Neeson","Kinsey","7 июня 1952 г."
22,nm0362766,2024-01-08,2024-01-09,"75713 points","Tom Hardy","Inception","15 сентября 1977 г."
23,nm0000437,2024-01-08,2024-02-13,"74294 points","Woody Harrelson","True Detective","23 июля 1961 г."
24,nm0000197,2024-01-08,2024-01-08,"73883 points","Jack Nicholson","Chinatown","22 апреля 1937 г."
25,nm0331516,2024-01-08,2024-04-27,"73115 points","Ryan Gosling","Blue Valentine","12 ноября 1980 г."
26,nm0000380,2024-01-08,2024-01-23,"70516 points","Robert Duvall","The Apostle","5 января 1931 г."
27,nm0330687,2024-01-08,2024-01-08,"70398 points","Joseph Gordon-Levitt","Inception","17 февраля 1981 г."
28,nm0000114,2024-01-08,2024-07-01,"70378 points","Steve Buscemi","Fargo","13 декабря 1957 г."
29,nm0350453,2024-01-08,2024-06-29,"69338 points","Jake Gyllenhaal","Nightcrawler","19 декабря 1980 г."
30,nm0000353,2024-01-08,2024-04-25,"69127 points","Willem Dafoe","Spider-Man","22 июля 1955 г."
31,nm0000172,2024-01-08,2024-01-08,"67539 points","Harvey Keitel","Reservoir Dogs","13 мая 1939 г."
32,nm0000128,2024-01-08,2024-01-08,"67096 points","Russell Crowe","Les Misérables","7 апреля 1964 г."
33,nm0177896,2024-01-08,2024-03-10,"65640 points","Bradley Cooper","A Star Is Born","5 января 1975 г."
34,nm0000243,2024-01-08,2024-04-27,"64987 points","Denzel Washington","Fences","28 декабря 1954 г."
35,nm0749263,2024-01-08,2024-03-11,"63186 points","Mark Ruffalo","Spotlight","22 ноября 1967 г."
36,nm0000123,2024-01-08,2024-01-08,"63095 points","George Clooney","The Ides of March","6 мая 1961 г."
37,nm1055413,2024-01-08,2024-07-03,"62052 points","Michael Fassbender","Shame","2 апреля 1977 г."
38,nm0000661,2024-01-08,2024-06-23,"59835 points","Donald Sutherland","The Hunger Games: Catching Fire","17 июля 1935 г."
39,nm0000190,2024-01-08,2024-05-07,"59745 points","Matthew McConaughey","Interstellar","4 ноября 1969 г."
40,nm0929489,2024-01-08,2024-01-08,"58190 points","Tom Wilkinson","Michael Clayton","5 февраля 1948 г."
41,nm0915989,2024-01-08,2024-01-08,"57041 points","Hugo Weaving","The Lord of the Rings: The Return of the King","4 апреля 1960 г."
42,nm0000142,2024-01-08,2024-03-13,"56004 points","Clint Eastwood","Million Dollar Baby","31 мая 1930 г."
43,nm0000209,2024-01-08,2024-01-08,"55840 points","Tim Robbins","Mystic River","16 октября 1958 г."
44,nm0000179,2024-01-08,2024-01-08,"55794 points","Jude Law","The Talented Mr. Ripley","29 декабря 1972 г."
45,nm0001618,2024-01-08,2024-01-08,"55471 points","Joaquin Phoenix","Walk the Line","28 октября 1974 г."
46,nm0000255,2024-01-08,2024-01-08,"55081 points","Ben Affleck","Argo","15 августа 1972 г."
47,nm0000729,2024-01-08,2024-01-08,"54670 points","Casey Affleck","Manchester by the Sea","12 августа 1975 г."
48,nm0000206,2024-01-08,2024-04-22,"54213 points","Keanu Reeves","The Matrix","2 сентября 1964 г."
49,nm0000438,2024-01-08,2024-01-08,"52899 points","Ed Harris","Appaloosa","28 ноября 1950 г."
50,nm0000457,2024-01-08,2024-01-08,"52692 points","John Hurt","Nineteen Eighty-Four","22 января 1940 г."
51,nm0000226,2024-01-08,2024-05-28,"52632 points","Will Smith","The Fresh Prince of Bel-Air","25 сентября 1968 г."
52,nm0316079,2024-01-08,2024-03-23,"51854 points","Paul Giamatti","Sideways","6 июня 1967 г."
53,nm0002253,2024-01-08,2024-01-08,"51803 points","John Carroll Lynch","The Founder","1 августа 1963 г."
54,nm0185819,2024-01-08,2024-01-09,"51799 points","Daniel Craig","Casino Royale","2 марта 1968 г."
55,nm0001602,2024-01-08,2024-01-08,"51649 points","Guy Pearce","Memento","5 октября 1967 г."
56,nm0000285,2024-01-08,2024-01-08,"51550 points","Alec Baldwin","The Departed","3 апреля 1958 г."
57,nm0000614,2024-01-08,2024-01-08,"51468 points","Alan Rickman","Die Hard","21 февраля 1946 г."
58,nm0001426,2024-01-08,2024-01-08,"51423 points","Ben Kingsley","Sexy Beast","31 декабря 1943 г."
59,nm0252230,2024-01-08,2024-01-08,"50875 points","Chiwetel Ejiofor","12 Years a Slave","10 июля 1977 г."
60,nm0000195,2024-01-08,2024-01-27,"50126 points","Bill Murray","Lost in Translation","21 сентября 1950 г."
61,nm0000160,2024-01-08,2024-03-10,"49812 points","Ethan Hawke","Training Day","6 ноября 1970 г."
62,nm0004937,2024-01-08,2024-06-23,"49465 points","Jamie Foxx","Collateral","13 декабря 1967 г."
63,nm0268199,2024-01-08,2024-06-23,"49131 points","Colin Farrell","The Lobster","31 мая 1976 г."
64,nm0001467,2024-01-08,2024-01-08,"49087 points","Jared Leto","Dallas Buyers Club","26 декабря 1971 г."
65,nm0001030,2024-01-08,2024-01-08,"49039 points","John Cazale","Dog Day Afternoon","12 августа 1935 г."
66,nm0001608,2024-01-08,2024-01-08,"48983 points","Barry Pepper","'Saving Private Ryan': Boot Camp","4 апреля 1970 г."
67,nm0005132,2024-01-08,2024-01-08,"48443 points","Heath Ledger","Brokeback Mountain","4 апреля 1979 г."
68,nm0000242,2024-01-08,2024-01-08,"48139 points","Mark Wahlberg","The Fighter","5 июня 1971 г."
69,nm0001745,2024-01-08,2024-05-31,"47866 points","Stellan Skarsgård","Good Will Hunting","13 июня"
70,nm0000164,2024-01-08,2024-07-01,"47839 points","Anthony Hopkins","The Silence of the Lambs","31 декабря 1937 г."
71,nm0005377,2024-01-08,2024-02-06,"47221 points","Sam Rockwell","Moon","5 ноября 1968 г."
72,nm0413168,2024-01-08,2024-06-04,"47107 points","Hugh Jackman","Les Misérables","12 октября 1968 г."
73,nm0001804,2024-01-08,2024-01-08,"46579 points","Stanley Tucci","Big Night","11 ноября 1960 г."
74,nm0000401,2024-01-08,2024-01-08,"46571 points","Laurence Fishburne","The Matrix","30 июля 1961 г."
75,nm0000375,2024-01-08,2024-05-06,"46199 points","Robert Downey Jr.","Iron Man","4 апреля 1965 г."
76,nm0910607,2024-01-08,2024-01-08,"45674 points","Christoph Waltz","Django Unchained","4 октября 1956 г."
77,nm0000982,2024-01-08,2024-06-19,"45539 points","Josh Brolin","Avengers: Endgame","12 февраля 1968 г."
78,nm0000163,2024-01-08,2024-01-08,"44975 points","Dustin Hoffman","Tootsie","8 августа 1937 г."
79,nm0000619,2024-01-08,2024-01-08,"44850 points","Tim Roth","Rob Roy","14 мая 1961 г."
80,nm0000453,2024-01-08,2024-01-08,"44814 points","Ian Holm","The Lord of the Rings: The Return of the King","12 сентября 1931 г."
81,nm0001691,2024-01-08,2024-01-08,"44808 points","Geoffrey Rush","The King's Speech","6 июля 1951 г."
82,nm0000640,2024-01-08,2024-01-08,"44434 points","Martin Sheen","The Departed","3 августа 1940 г."
83,nm0322407,2024-01-08,2024-01-08,"44393 points","Brendan Gleeson","Calvary","29 марта 1955 г."
84,nm0000191,2024-01-08,2024-07-01,"44161 points","Ewan McGregor","Moulin Rouge!","31 марта 1971 г."
85,nm0000422,2024-01-08,2024-03-04,"44103 points","John Goodman","10 Cloverfield Lane","20 июня 1952 г."
86,nm0089217,2024-01-08,2024-01-08,"44041 points","Orlando Bloom","The Lord of the Rings: The Fellowship of the Ring","13 января 1977 г."
87,nm0000514,2024-01-08,2024-01-08,"43787 points","Michael Madsen","Reservoir Dogs","25 сентября 1957 г."
88,nm0913822,2024-01-08,2024-01-08,"43522 points","Ken Watanabe","The Last Samurai","21 октября 1959 г."
89,nm0000592,2024-01-08,2024-01-08,"43278 points","Pete Postlethwaite","The Usual Suspects","7 февраля 1946 г."
90,nm0001626,2024-01-08,2024-01-08,"43194 points","Christopher Plummer","Beginners","13 декабря 1929 г."
91,nm0000849,2024-01-08,2024-01-08,"43184 points","Javier Bardem","Skyfall","1 марта 1969 г."
92,nm0788335,2024-01-08,2024-03-08,"42052 points","Michael Shannon","Take Shelter","7 августа 1974 г."
93,nm0001125,2024-01-08,2024-03-09,"42037 points","Benicio Del Toro","Sicario","19 февраля 1967 г."
94,nm0001845,2024-01-08,2024-04-22,"41677 points","Forest Whitaker","The Last King of Scotland","15 июля 1961 г."
95,nm0000362,2024-01-08,2024-07-01,"41517 points","Danny DeVito","Matilda","17 ноября 1944 г."
96,nm0000582,2024-01-08,2024-01-08,"41464 points","Joe Pesci","Goodfellas","9 февраля 1943 г."
97,nm0005562,2024-01-08,2024-01-27,"41271 points","Owen Wilson","The Royal Tenenbaums","18 ноября 1968 г."
98,nm0004778,2024-01-08,2024-04-25,"40950 points","Adrien Brody","The Pianist","14 апреля 1973 г."
99,nm0117709,2024-01-08,2024-01-08,"40443 points","Daniel Brühl","Rush","16 июня 1978 г."
100,nm0000237,2024-01-08,2024-01-08,"39763 points","John Travolta","Pulp Fiction","18 февраля 1954 г."
101,nm0001884,2024-01-08,2024-01-08,"39750 points","Max von Sydow","Flash Gordon","10 апреля 1929 г."
102,nm0000245,2024-01-08,2024-04-07,"39698 points","Robin Williams","Mrs. Doubtfire","21 июля 1951 г."
103,nm0000502,2024-01-08,2024-01-08,"39683 points","Christopher Lloyd","Back to the Future","22 октября 1938 г."
104,nm0000147,2024-01-08,2024-05-31,"39681 points","Colin Firth","A Single Man","10 сентября 1960 г."
105,nm0719637,2024-01-08,2024-01-08,"39579 points","Jeremy Renner","The Hurt Locker","7 января 1971 г."
106,nm1212722,2024-01-08,2024-01-08,"39545 points","Benedict Cumberbatch","The Imitation Game","19 июля 1976 г."
107,nm0200452,2024-01-08,2024-04-21,"39078 points","Paul Dano","There Will Be Blood","19 июня 1984 г."
108,nm0001765,2024-01-08,2024-06-16,"38838 points","Harry Dean Stanton","Lucky","14 июля 1926 г."
109,nm0151419,2024-01-08,2024-04-12,"38467 points","Kyle Chandler","Argo","17 сентября 1965 г."
110,nm0932112,2024-01-08,2024-01-08,"37963 points","Mykelti Williamson","Forrest Gump","4 марта 1957 г."
111,nm0000332,2024-01-08,2024-01-08,"37948 points","Don Cheadle","Crash","29 ноября 1964 г."
